Vianco_data,,,,,
Gattung,GewogenAm,GewichtBezahlt,TVD,,
640 - SPG Stierkalb,2017-01-06,75,1201327940684,,CH1201327940684
640 - SPG Stierkalb,2017-01-06,75,1201327940685,,CH1201327940685
640 - SPG Stierkalb,2017-01-06,75,1201327940686,,CH1201327940686
640 - SPG Stierkalb,2017-01-06,75,1201327940687,,CH1201327940687
640 - SPG Stierkalb,2017-01-06,75,1201327940688,,CH1201327940688
640 - SPG Stierkalb,2017-01-06,75,1201327940689,,CH1201327940689
640 - SPG Stierkalb,2017-01-06,75,1201327940690,,CH1201327940690
640 - SPG Stierkalb,2017-01-06,75,1201327940691,,CH1201327940691
640 - SPG Stierkalb,2017-01-06,75,1201327940692,,CH1201327940692
640 - SPG Stierkalb,2017-01-06,75,1201327940693,,CH1201327940693
650 - SPG Kuhkalb,2017-01-06,75,1201327940694,,CH1201327940694
650 - SPG Kuhkalb,2017-01-06,75,1201327940695,,CH1201327940695
650 - SPG Kuhkalb,2017-01-06,75,1201327940696,,CH1201327940696
650 - SPG Kuhkalb,2017-01-06,75,1201327940697,,CH1201327940697
650 - SPG Kuhkalb,2017-01-06,75,1201327940698,,CH1201327940698
650 - SPG Kuhkalb,2017-01-06,75,1201327940699,,CH1201327940699
650 - SPG Kuhkalb,2017-01-06,75,12013279406100,,CH12013279406100
650 - SPG Kuhkalb,2017-01-06,75,12013279406101,,CH12013279406101
650 - SPG Kuhkalb,2017-01-06,75,12013279406102,,CH12013279406102
650 - SPG Kuhkalb,2017-01-06,75,12013279406103,,CH12013279406103
650 - SPG Kuhkalb,2017-01-06,75,12013279406104,,CH12013279406104
650 - SPG Kuhkalb,2017-01-06,75,12013279406105,,CH12013279406105
650 - SPG Kuhkalb,2017-01-06,75,12013279406106,,CH12013279406106
650 - SPG Kuhkalb,2017-01-06,75,12013279406107,,CH12013279406107
650 - SPG Kuhkalb,2017-01-06,75,12013279406108,,CH12013279406108
650 - SPG Kuhkalb,2017-01-06,75,12013279406109,,CH12013279406109
650 - SPG Kuhkalb,2017-01-06,75,12013279406110,,CH12013279406110
650 - SPG Kuhkalb,2017-01-06,75,12013279406111,,CH12013279406111
650 - SPG Kuhkalb,2017-01-06,75,12013279406112,,CH12013279406112
650 - SPG Kuhkalb,2017-01-06,75,12013279406113,,CH12013279406113
650 - SPG Kuhkalb,2017-01-06,75,12013279406114,,CH12013279406114
650 - SPG Kuhkalb,2017-01-06,75,12013279406115,,CH12013279406115
650 - SPG Kuhkalb,2017-01-06,75,12013279406116,,CH12013279406116
650 - SPG Kuhkalb,2017-01-06,75,12013279406117,,CH12013279406117
650 - SPG Kuhkalb,2017-01-06,75,12013279406118,,CH12013279406118
650 - SPG Kuhkalb,2017-01-06,75,12013279406119,,CH12013279406119
650 - SPG Kuhkalb,2017-01-06,75,12013279406120,,CH12013279406120
650 - SPG Kuhkalb,2017-01-06,75,12013279406121,,CH12013279406121
650 - SPG Kuhkalb,2017-01-09,55,12013279406122,,CH12013279406122
650 - SPG Kuhkalb,2017-01-13,44,12013279406123,,CH12013279406123
650 - SPG Kuhkalb,2017-01-13,56,12013279406124,,CH12013279406124
640 - SPG Stierkalb,2017-01-13,60,12013279406125,,CH12013279406125
650 - SPG Kuhkalb,2017-01-13,60,12013279406126,,CH12013279406126
650 - SPG Kuhkalb,2017-01-13,61,12013279406127,,CH12013279406127
640 - SPG Stierkalb,2017-01-13,62,12013279406128,,CH12013279406128
640 - SPG Stierkalb,2017-01-13,63,12013279406129,,CH12013279406129
640 - SPG Stierkalb,2017-01-13,65,12013279406130,,CH12013279406130
650 - SPG Kuhkalb,2017-01-13,65,12013279406131,,CH12013279406131
640 - SPG Stierkalb,2017-01-13,66,12013279406132,,CH12013279406132
640 - SPG Stierkalb,2017-01-13,66,12013279406133,,CH12013279406133
640 - SPG Stierkalb,2017-01-13,67,12013279406134,,CH12013279406134
640 - SPG Stierkalb,2017-01-13,67,12013279406135,,CH12013279406135
650 - SPG Kuhkalb,2017-01-13,67,12013279406136,,CH12013279406136
650 - SPG Kuhkalb,2017-01-13,67,12013279406137,,CH12013279406137
640 - SPG Stierkalb,2017-01-13,68,12013279406138,,CH12013279406138
640 - SPG Stierkalb,2017-01-13,68,12013279406139,,CH12013279406139
640 - SPG Stierkalb,2017-01-13,68,12013279406140,,CH12013279406140
650 - SPG Kuhkalb,2017-01-13,68,12013279406141,,CH12013279406141
640 - SPG Stierkalb,2017-01-13,69,12013279406142,,CH12013279406142
640 - SPG Stierkalb,2017-01-13,69,12013279406143,,CH12013279406143
640 - SPG Stierkalb,2017-01-13,69,12013279406144,,CH12013279406144
650 - SPG Kuhkalb,2017-01-13,69,12013279406145,,CH12013279406145
650 - SPG Kuhkalb,2017-01-13,69,12013279406146,,CH12013279406146
640 - SPG Stierkalb,2017-01-13,70,12013279406147,,CH12013279406147
640 - SPG Stierkalb,2017-01-13,70,12013279406148,,CH12013279406148
640 - SPG Stierkalb,2017-01-13,70,12013279406149,,CH12013279406149
640 - SPG Stierkalb,2017-01-13,70,12013279406150,,CH12013279406150
650 - SPG Kuhkalb,2017-01-13,70,12013279406151,,CH12013279406151
650 - SPG Kuhkalb,2017-01-13,70,12013279406152,,CH12013279406152
650 - SPG Kuhkalb,2017-01-13,70,12013279406153,,CH12013279406153
640 - SPG Stierkalb,2017-01-13,71,12013279406154,,CH12013279406154
640 - SPG Stierkalb,2017-01-13,71,12013279406155,,CH12013279406155
640 - SPG Stierkalb,2017-01-13,71,12013279406156,,CH12013279406156
640 - SPG Stierkalb,2017-01-13,71,12013279406157,,CH12013279406157
640 - SPG Stierkalb,2017-01-13,71,12013279406158,,CH12013279406158
650 - SPG Kuhkalb,2017-01-13,71,12013279406159,,CH12013279406159
640 - SPG Stierkalb,2017-01-13,72,12013279406160,,CH12013279406160
640 - SPG Stierkalb,2017-01-13,72,12013279406161,,CH12013279406161
640 - SPG Stierkalb,2017-01-13,72,12013279406162,,CH12013279406162
640 - SPG Stierkalb,2017-01-13,72,12013279406163,,CH12013279406163
640 - SPG Stierkalb,2017-01-13,72,12013279406164,,CH12013279406164
640 - SPG Stierkalb,2017-01-13,72,12013279406165,,CH12013279406165
640 - SPG Stierkalb,2017-01-13,72,12013279406166,,CH12013279406166
640 - SPG Stierkalb,2017-01-13,72,12013279406167,,CH12013279406167
640 - SPG Stierkalb,2017-01-13,72,12013279406168,,CH12013279406168
650 - SPG Kuhkalb,2017-01-13,72,12013279406169,,CH12013279406169
650 - SPG Kuhkalb,2017-01-13,72,12013279406170,,CH12013279406170
640 - SPG Stierkalb,2017-01-13,73,12013279406171,,CH12013279406171
640 - SPG Stierkalb,2017-01-13,73,12013279406172,,CH12013279406172
640 - SPG Stierkalb,2017-01-13,73,12013279406173,,CH12013279406173
640 - SPG Stierkalb,2017-01-13,73,12013279406174,,CH12013279406174
640 - SPG Stierkalb,2017-01-13,73,12013279406175,,CH12013279406175
650 - SPG Kuhkalb,2017-01-13,73,12013279406176,,CH12013279406176
650 - SPG Kuhkalb,2017-01-13,73,12013279406177,,CH12013279406177
650 - SPG Kuhkalb,2017-01-13,73,12013279406178,,CH12013279406178
640 - SPG Stierkalb,2017-01-13,74,12013279406179,,CH12013279406179
640 - SPG Stierkalb,2017-01-13,74,12013279406180,,CH12013279406180
640 - SPG Stierkalb,2017-01-13,74,12013279406181,,CH12013279406181
640 - SPG Stierkalb,2017-01-13,74,12013279406182,,CH12013279406182
640 - SPG Stierkalb,2017-01-13,74,12013279406183,,CH12013279406183
640 - SPG Stierkalb,2017-01-13,74,12013279406184,,CH12013279406184
640 - SPG Stierkalb,2017-01-13,74,12013279406185,,CH12013279406185
640 - SPG Stierkalb,2017-01-13,74,12013279406186,,CH12013279406186
650 - SPG Kuhkalb,2017-01-13,74,12013279406187,,CH12013279406187
650 - SPG Kuhkalb,2017-01-13,74,12013279406188,,CH12013279406188
650 - SPG Kuhkalb,2017-01-13,74,12013279406189,,CH12013279406189
640 - SPG Stierkalb,2017-01-13,75,12013279406190,,CH12013279406190
640 - SPG Stierkalb,2017-01-13,75,12013279406191,,CH12013279406191
640 - SPG Stierkalb,2017-01-13,75,12013279406192,,CH12013279406192
640 - SPG Stierkalb,2017-01-13,75,12013279406193,,CH12013279406193
640 - SPG Stierkalb,2017-01-13,75,12013279406194,,CH12013279406194
640 - SPG Stierkalb,2017-01-13,75,12013279406195,,CH12013279406195
640 - SPG Stierkalb,2017-01-13,75,12013279406196,,CH12013279406196
640 - SPG Stierkalb,2017-01-13,75,12013279406197,,CH12013279406197
640 - SPG Stierkalb,2017-01-13,75,12013279406198,,CH12013279406198
640 - SPG Stierkalb,2017-01-13,75,12013279406199,,CH12013279406199
640 - SPG Stierkalb,2017-01-13,75,12013279406200,,CH12013279406200
640 - SPG Stierkalb,2017-01-13,75,12013279406201,,CH12013279406201
640 - SPG Stierkalb,2017-01-13,75,12013279406202,,CH12013279406202
640 - SPG Stierkalb,2017-01-13,75,12013279406203,,CH12013279406203
640 - SPG Stierkalb,2017-01-13,75,12013279406204,,CH12013279406204
640 - SPG Stierkalb,2017-01-13,75,12013279406205,,CH12013279406205
640 - SPG Stierkalb,2017-01-13,75,12013279406206,,CH12013279406206
640 - SPG Stierkalb,2017-01-13,75,12013279406207,,CH12013279406207
640 - SPG Stierkalb,2017-01-13,75,12013279406208,,CH12013279406208
640 - SPG Stierkalb,2017-01-13,75,12013279406209,,CH12013279406209
640 - SPG Stierkalb,2017-01-13,75,12013279406210,,CH12013279406210
640 - SPG Stierkalb,2017-01-13,75,12013279406211,,CH12013279406211
640 - SPG Stierkalb,2017-01-13,75,12013279406212,,CH12013279406212
640 - SPG Stierkalb,2017-01-13,75,12013279406213,,CH12013279406213
640 - SPG Stierkalb,2017-01-13,75,12013279406214,,CH12013279406214
640 - SPG Stierkalb,2017-01-13,75,12013279406215,,CH12013279406215
640 - SPG Stierkalb,2017-01-13,75,12013279406216,,CH12013279406216
640 - SPG Stierkalb,2017-01-13,75,12013279406217,,CH12013279406217
640 - SPG Stierkalb,2017-01-13,75,12013279406218,,CH12013279406218
640 - SPG Stierkalb,2017-01-13,75,12013279406219,,CH12013279406219
640 - SPG Stierkalb,2017-01-13,75,12013279406220,,CH12013279406220
640 - SPG Stierkalb,2017-01-13,75,12013279406221,,CH12013279406221
640 - SPG Stierkalb,2017-01-13,75,12013279406222,,CH12013279406222
640 - SPG Stierkalb,2017-01-13,75,12013279406223,,CH12013279406223
640 - SPG Stierkalb,2017-01-13,75,12013279406224,,CH12013279406224
640 - SPG Stierkalb,2017-01-13,75,12013279406225,,CH12013279406225
640 - SPG Stierkalb,2017-01-13,75,12013279406226,,CH12013279406226
640 - SPG Stierkalb,2017-01-13,75,12013279406227,,CH12013279406227
640 - SPG Stierkalb,2017-01-13,75,12013279406228,,CH12013279406228
640 - SPG Stierkalb,2017-01-13,75,12013279406229,,CH12013279406229
640 - SPG Stierkalb,2017-01-13,75,12013279406230,,CH12013279406230
640 - SPG Stierkalb,2017-01-13,75,12013279406231,,CH12013279406231
640 - SPG Stierkalb,2017-01-13,75,12013279406232,,CH12013279406232
640 - SPG Stierkalb,2017-01-13,75,12013279406233,,CH12013279406233
640 - SPG Stierkalb,2017-01-13,75,12013279406234,,CH12013279406234
640 - SPG Stierkalb,2017-01-13,75,12013279406235,,CH12013279406235
640 - SPG Stierkalb,2017-01-13,75,12013279406236,,CH12013279406236
640 - SPG Stierkalb,2017-01-13,75,12013279406237,,CH12013279406237
640 - SPG Stierkalb,2017-01-13,75,12013279406238,,CH12013279406238
640 - SPG Stierkalb,2017-01-13,75,12013279406239,,CH12013279406239
640 - SPG Stierkalb,2017-01-13,75,12013279406240,,CH12013279406240
640 - SPG Stierkalb,2017-01-13,75,12013279406241,,CH12013279406241
640 - SPG Stierkalb,2017-01-13,75,12013279406242,,CH12013279406242
640 - SPG Stierkalb,2017-01-13,75,12013279406243,,CH12013279406243
640 - SPG Stierkalb,2017-01-13,75,12013279406244,,CH12013279406244
640 - SPG Stierkalb,2017-01-13,75,12013279406245,,CH12013279406245
640 - SPG Stierkalb,2017-01-13,75,12013279406246,,CH12013279406246
640 - SPG Stierkalb,2017-01-13,75,12013279406247,,CH12013279406247
640 - SPG Stierkalb,2017-01-13,75,12013279406248,,CH12013279406248
640 - SPG Stierkalb,2017-01-13,75,12013279406249,,CH12013279406249
640 - SPG Stierkalb,2017-01-13,75,12013279406250,,CH12013279406250
640 - SPG Stierkalb,2017-01-13,75,12013279406251,,CH12013279406251
640 - SPG Stierkalb,2017-01-13,75,12013279406252,,CH12013279406252
640 - SPG Stierkalb,2017-01-13,75,12013279406253,,CH12013279406253
640 - SPG Stierkalb,2017-01-13,75,12013279406254,,CH12013279406254
640 - SPG Stierkalb,2017-01-13,75,12013279406255,,CH12013279406255
640 - SPG Stierkalb,2017-01-13,75,12013279406256,,CH12013279406256
640 - SPG Stierkalb,2017-01-13,75,12013279406257,,CH12013279406257
650 - SPG Kuhkalb,2017-01-13,75,12013279406258,,CH12013279406258
650 - SPG Kuhkalb,2017-01-13,75,12013279406259,,CH12013279406259
650 - SPG Kuhkalb,2017-01-13,75,12013279406260,,CH12013279406260
650 - SPG Kuhkalb,2017-01-13,75,12013279406261,,CH12013279406261
650 - SPG Kuhkalb,2017-01-13,75,12013279406262,,CH12013279406262
650 - SPG Kuhkalb,2017-01-13,75,12013279406263,,CH12013279406263
650 - SPG Kuhkalb,2017-01-13,75,12013279406264,,CH12013279406264
650 - SPG Kuhkalb,2017-01-13,75,12013279406265,,CH12013279406265
650 - SPG Kuhkalb,2017-01-13,75,12013279406266,,CH12013279406266
650 - SPG Kuhkalb,2017-01-13,75,12013279406267,,CH12013279406267
650 - SPG Kuhkalb,2017-01-13,75,12013279406268,,CH12013279406268
650 - SPG Kuhkalb,2017-01-13,75,12013279406269,,CH12013279406269
650 - SPG Kuhkalb,2017-01-13,75,12013279406270,,CH12013279406270
650 - SPG Kuhkalb,2017-01-13,75,12013279406271,,CH12013279406271
650 - SPG Kuhkalb,2017-01-13,75,12013279406272,,CH12013279406272
650 - SPG Kuhkalb,2017-01-13,75,12013279406273,,CH12013279406273
650 - SPG Kuhkalb,2017-01-13,75,12013279406274,,CH12013279406274
650 - SPG Kuhkalb,2017-01-13,75,12013279406275,,CH12013279406275
650 - SPG Kuhkalb,2017-01-13,75,12013279406276,,CH12013279406276
650 - SPG Kuhkalb,2017-01-13,75,12013279406277,,CH12013279406277
650 - SPG Kuhkalb,2017-01-13,75,12013279406278,,CH12013279406278
650 - SPG Kuhkalb,2017-01-13,75,12013279406279,,CH12013279406279
650 - SPG Kuhkalb,2017-01-13,75,12013279406280,,CH12013279406280
650 - SPG Kuhkalb,2017-01-13,75,12013279406281,,CH12013279406281
650 - SPG Kuhkalb,2017-01-20,57,12013279406282,,CH12013279406282
640 - SPG Stierkalb,2017-01-20,58,12013279406283,,CH12013279406283
650 - SPG Kuhkalb,2017-01-20,60,12013279406284,,CH12013279406284
640 - SPG Stierkalb,2017-01-20,61,12013279406285,,CH12013279406285
650 - SPG Kuhkalb,2017-01-20,61,12013279406286,,CH12013279406286
650 - SPG Kuhkalb,2017-01-20,61,12013279406287,,CH12013279406287
650 - SPG Kuhkalb,2017-01-20,61,12013279406288,,CH12013279406288
640 - SPG Stierkalb,2017-01-20,62,12013279406289,,CH12013279406289
650 - SPG Kuhkalb,2017-01-20,65,12013279406290,,CH12013279406290
650 - SPG Kuhkalb,2017-01-20,65,12013279406291,,CH12013279406291
640 - SPG Stierkalb,2017-01-20,67,12013279406292,,CH12013279406292
640 - SPG Stierkalb,2017-01-20,67,12013279406293,,CH12013279406293
650 - SPG Kuhkalb,2017-01-20,67,12013279406294,,CH12013279406294
640 - SPG Stierkalb,2017-01-20,68,12013279406295,,CH12013279406295
650 - SPG Kuhkalb,2017-01-20,68,12013279406296,,CH12013279406296
650 - SPG Kuhkalb,2017-01-20,68,12013279406297,,CH12013279406297
650 - SPG Kuhkalb,2017-01-20,68,12013279406298,,CH12013279406298
650 - SPG Kuhkalb,2017-01-20,69,12013279406299,,CH12013279406299
650 - SPG Kuhkalb,2017-01-20,69,12013279406300,,CH12013279406300
640 - SPG Stierkalb,2017-01-20,70,12013279406301,,CH12013279406301
640 - SPG Stierkalb,2017-01-20,70,12013279406302,,CH12013279406302
640 - SPG Stierkalb,2017-01-20,70,12013279406303,,CH12013279406303
640 - SPG Stierkalb,2017-01-20,70,12013279406304,,CH12013279406304
650 - SPG Kuhkalb,2017-01-20,70,12013279406305,,CH12013279406305
650 - SPG Kuhkalb,2017-01-20,70,12013279406306,,CH12013279406306
650 - SPG Kuhkalb,2017-01-20,70,12013279406307,,CH12013279406307
640 - SPG Stierkalb,2017-01-20,71,12013279406308,,CH12013279406308
650 - SPG Kuhkalb,2017-01-20,71,12013279406309,,CH12013279406309
650 - SPG Kuhkalb,2017-01-20,72,12013279406310,,CH12013279406310
650 - SPG Kuhkalb,2017-01-20,72,12013279406311,,CH12013279406311
650 - SPG Kuhkalb,2017-01-20,72,12013279406312,,CH12013279406312
640 - SPG Stierkalb,2017-01-20,73,12013279406313,,CH12013279406313
640 - SPG Stierkalb,2017-01-20,73,12013279406314,,CH12013279406314
640 - SPG Stierkalb,2017-01-20,73,12013279406315,,CH12013279406315
650 - SPG Kuhkalb,2017-01-20,73,12013279406316,,CH12013279406316
640 - SPG Stierkalb,2017-01-20,74,12013279406317,,CH12013279406317
640 - SPG Stierkalb,2017-01-20,74,12013279406318,,CH12013279406318
640 - SPG Stierkalb,2017-01-20,74,12013279406319,,CH12013279406319
640 - SPG Stierkalb,2017-01-20,74,12013279406320,,CH12013279406320
640 - SPG Stierkalb,2017-01-20,74,12013279406321,,CH12013279406321
650 - SPG Kuhkalb,2017-01-20,74,12013279406322,,CH12013279406322
640 - SPG Stierkalb,2017-01-20,75,12013279406323,,CH12013279406323
640 - SPG Stierkalb,2017-01-20,75,12013279406324,,CH12013279406324
640 - SPG Stierkalb,2017-01-20,75,12013279406325,,CH12013279406325
640 - SPG Stierkalb,2017-01-20,75,12013279406326,,CH12013279406326
640 - SPG Stierkalb,2017-01-20,75,12013279406327,,CH12013279406327
640 - SPG Stierkalb,2017-01-20,75,12013279406328,,CH12013279406328
640 - SPG Stierkalb,2017-01-20,75,12013279406329,,CH12013279406329
640 - SPG Stierkalb,2017-01-20,75,12013279406330,,CH12013279406330
640 - SPG Stierkalb,2017-01-20,75,12013279406331,,CH12013279406331
640 - SPG Stierkalb,2017-01-20,75,12013279406332,,CH12013279406332
640 - SPG Stierkalb,2017-01-20,75,12013279406333,,CH12013279406333
640 - SPG Stierkalb,2017-01-20,75,12013279406334,,CH12013279406334
640 - SPG Stierkalb,2017-01-20,75,12013279406335,,CH12013279406335
640 - SPG Stierkalb,2017-01-20,75,12013279406336,,CH12013279406336
640 - SPG Stierkalb,2017-01-20,75,12013279406337,,CH12013279406337
640 - SPG Stierkalb,2017-01-20,75,12013279406338,,CH12013279406338
640 - SPG Stierkalb,2017-01-20,75,12013279406339,,CH12013279406339
640 - SPG Stierkalb,2017-01-20,75,12013279406340,,CH12013279406340
640 - SPG Stierkalb,2017-01-20,75,12013279406341,,CH12013279406341
640 - SPG Stierkalb,2017-01-20,75,12013279406342,,CH12013279406342
640 - SPG Stierkalb,2017-01-20,75,12013279406343,,CH12013279406343
640 - SPG Stierkalb,2017-01-20,75,12013279406344,,CH12013279406344
640 - SPG Stierkalb,2017-01-20,75,12013279406345,,CH12013279406345
640 - SPG Stierkalb,2017-01-20,75,12013279406346,,CH12013279406346
640 - SPG Stierkalb,2017-01-20,75,12013279406347,,CH12013279406347
640 - SPG Stierkalb,2017-01-20,75,12013279406348,,CH12013279406348
640 - SPG Stierkalb,2017-01-20,75,12013279406349,,CH12013279406349
640 - SPG Stierkalb,2017-01-20,75,12013279406350,,CH12013279406350
640 - SPG Stierkalb,2017-01-20,75,12013279406351,,CH12013279406351
640 - SPG Stierkalb,2017-01-20,75,12013279406352,,CH12013279406352
650 - SPG Kuhkalb,2017-01-20,75,12013279406353,,CH12013279406353
650 - SPG Kuhkalb,2017-01-20,75,12013279406354,,CH12013279406354
650 - SPG Kuhkalb,2017-01-20,75,12013279406355,,CH12013279406355
650 - SPG Kuhkalb,2017-01-20,75,12013279406356,,CH12013279406356
650 - SPG Kuhkalb,2017-01-20,75,12013279406357,,CH12013279406357
650 - SPG Kuhkalb,2017-01-20,75,12013279406358,,CH12013279406358
650 - SPG Kuhkalb,2017-01-20,75,12013279406359,,CH12013279406359
650 - SPG Kuhkalb,2017-01-20,75,12013279406360,,CH12013279406360
650 - SPG Kuhkalb,2017-01-20,75,12013279406361,,CH12013279406361
650 - SPG Kuhkalb,2017-01-20,75,12013279406362,,CH12013279406362
650 - SPG Kuhkalb,2017-01-20,75,12013279406363,,CH12013279406363
650 - SPG Kuhkalb,2017-01-20,75,12013279406364,,CH12013279406364
650 - SPG Kuhkalb,2017-01-20,75,12013279406365,,CH12013279406365
650 - SPG Kuhkalb,2017-01-20,75,12013279406366,,CH12013279406366
650 - SPG Kuhkalb,2017-01-20,75,12013279406367,,CH12013279406367
650 - SPG Kuhkalb,2017-01-20,75,12013279406368,,CH12013279406368
650 - SPG Kuhkalb,2017-01-20,75,12013279406369,,CH12013279406369
650 - SPG Kuhkalb,2017-01-20,75,12013279406370,,CH12013279406370
640 - SPG Stierkalb,2017-01-27,50,12013279406371,,CH12013279406371
650 - SPG Kuhkalb,2017-01-27,55,12013279406372,,CH12013279406372
650 - SPG Kuhkalb,2017-01-27,58,12013279406373,,CH12013279406373
640 - SPG Stierkalb,2017-01-27,59,12013279406374,,CH12013279406374
650 - SPG Kuhkalb,2017-01-27,60,12013279406375,,CH12013279406375
650 - SPG Kuhkalb,2017-01-27,61,12013279406376,,CH12013279406376
